id,graph_order,acronym,name,color_hex_triplet,parent_structure_id,structure_id_path,annotated,voxel_count,subgraph_annotated,subgraph_voxel_count,volume_mm3,volume_cm3
10367,1794,La,lateral nucleus,A6D17A,10366.0,/10153/10154/10155/10156/10157/10158/10331/10361/10366/10367/,True,4600.0,True,4600.0,575.0,0.5750000000000001
10368,1805,BL,basolateral nucleus (basal nucleus),89BA46,10366.0,/10153/10154/10155/10156/10157/10158/10331/10361/10366/10368/,True,3842.0,True,3842.0,480.25,0.48025
10369,1812,BM,basomedial nucleus (accessory basal nucleus),9CCC66,10366.0,/10153/10154/10155/10156/10157/10158/10331/10361/10366/10369/,True,1184.0,True,1184.0,148.0,0.148
10384,1834,BNST,bed nucleus of stria terminalis,A9D7AE,10383.0,/10153/10154/10155/10156/10157/10158/10331/10383/10384/,True,3120.0,True,3120.0,390.0,0.39
10335,1862,CaH,head of caudate,91A06E,10334.0,/10153/10154/10155/10156/10157/10158/10331/10332/10333/10334/10335/,True,28911.0,True,28911.0,3613.875,3.613875
10336,1866,CaB,body of caudate,99A677,10334.0,/10153/10154/10155/10156/10157/10158/10331/10332/10333/10334/10336/,True,12301.0,True,12301.0,1537.625,1.537625
10337,1867,CaT,tail of caudate,91A06E,10334.0,/10153/10154/10155/10156/10157/10158/10331/10332/10333/10334/10337/,True,2589.0,True,2589.0,323.625,0.323625
10338,1870,Pu,putamen,A8B485,10333.0,/10153/10154/10155/10156/10157/10158/10331/10332/10333/10338/,True,51512.0,True,53418.0,6677.25,6.67725
146034754,1877,PuPV,posteroventral putamen,A8B485,10338.0,/10153/10154/10155/10156/10157/10158/10331/10332/10333/10338/146034754/,True,1906.0,True,1906.0,238.25,0.23825
10339,1879,NAC,nucleus accumbens,91A06E,10333.0,/10153/10154/10155/10156/10157/10158/10331/10332/10333/10339/,True,5210.0,True,5210.0,651.25,0.65125
10343,1888,GPe,external segment of globus pallidus,D7E0BF,10342.0,/10153/10154/10155/10156/10157/10158/10331/10332/10342/10343/,True,7354.0,True,7354.0,919.25,0.91925
10344,1889,GPi,internal segment of globus pallidus,D0D9B2,10342.0,/10153/10154/10155/10156/10157/10158/10331/10332/10342/10344/,True,4453.0,True,4453.0,556.625,0.556625
10346,1894,Cla,claustrum,AADBCE,10331.0,/10153/10154/10155/10156/10157/10158/10331/10346/,True,12696.0,True,12696.0,1587.0,1.587
10349,1898,BF,basal forebrain,DDDDAF,10331.0,/10153/10154/10155/10156/10157/10158/10331/10349/,True,6476.0,True,9452.0,1181.5,1.1815
10350,1899,SEP,septal nuclei,CACA92,10349.0,/10153/10154/10155/10156/10157/10158/10331/10349/10350/,True,2976.0,True,2976.0,372.0,0.372
10390,1926,THM,thalamus,E4CCE3,10389.0,/10153/10154/10155/10156/10157/10389/10390/,True,24556.0,True,87969.0,10996.125,10.996125
10392,1928,ANC,anterior nuclear complex of thalamus,BF89BC,10391.0,/10153/10154/10155/10156/10157/10389/10390/10391/10392/,True,1681.0,True,2776.0,347.0,0.347
10396,1932,LD,lateral dorsal nucleus of thalamus,B67BB4,10392.0,/10153/10154/10155/10156/10157/10389/10390/10391/10392/10396/,True,1095.0,True,1095.0,136.875,0.136875
10398,1934,MD,mediodorsal nucleus of thalamus,B067A9,10397.0,/10153/10154/10155/10156/10157/10389/10390/10391/10397/10398/,True,8860.0,True,8860.0,1107.5,1.1075
10403,1941,Re,reuniens nucleus (medioventral nucleus) of thalamus,95498A,10397.0,/10153/10154/10155/10156/10157/10389/10390/10391/10397/10403/,True,1058.0,True,1058.0,132.25,0.13225
10408,1945,LP,lateral posterior nucleus of thalamus,B067A9,10407.0,/10153/10154/10155/10156/10157/10389/10390/10391/10406/10407/10408/,True,3521.0,True,3521.0,440.125,0.440125
10409,1946,Pul,pulvinar of thalamus,B067A9,10407.0,/10153/10154/10155/10156/10157/10389/10390/10391/10406/10407/10409/,True,13454.0,True,13454.0,1681.75,1.68175
10417,1954,VA,ventral anterior nucleus of thalamus,A554A0,10416.0,/10153/10154/10155/10156/10157/10389/10390/10391/10406/10416/10417/,True,8556.0,True,8556.0,1069.5,1.0695
10420,1957,VL,ventral lateral nucleus of thalamus,B067A9,10416.0,/10153/10154/10155/10156/10157/10389/10390/10391/10406/10416/10420/,True,7841.0,True,7841.0,980.125,0.980125
10424,1964,VPL,ventral posterior lateral nucleus,9E4C94,10423.0,/10153/10154/10155/10156/10157/10389/10390/10391/10406/10416/10423/10424/,True,5280.0,True,5280.0,660.0,0.66
10425,1967,VPM,ventral posterior medial nucleus,9E4C94,10423.0,/10153/10154/10155/10156/10157/10389/10390/10391/10406/10416/10423/10425/,True,1016.0,True,1016.0,127.0,0.127
10430,1974,DLG,dorsal lateral geniculate nucleus,8C4685,10429.0,/10153/10154/10155/10156/10157/10389/10390/10391/10428/10429/10430/,True,1213.0,True,1213.0,151.625,0.151625
10434,1986,MG,medial geniculate nuclei,B67BB4,10428.0,/10153/10154/10155/10156/10157/10389/10390/10391/10428/10434/,True,838.0,True,838.0,104.75,0.10475
